Processor information: 1 socket(s), 6 core(s), and 12 thread(s) available
GAMS 45.5.0   Copyright (C) 1987-2023 GAMS Development. All rights reserved
---   3,428 rows  3,573 columns  12,038 non-zeroes
---   4,265 nl-code  2,082 nl-non-zeroes
--- Range statistics (absolute non-zero finite values)
--- RHS       [min, max] : [ 4.561E-04, 3.000E+03] - Zero values observed as well
--- Bound     [min, max] : [ 5.000E-05, 1.927E+03] - Zero values observed as well
--- Matrix    [min, max] : [ 6.345E-06, 1.447E+07] - Zero values observed as well
--- Executing BARON (Solvelink=2): elapsed 0:00:00.268

GAMS/BARON       45.5.0 8d95ac18 Dec 14, 2023          WEI x86 64bit/MS Window

===========================================================================
 BARON version 23.6.22. Built: WIN-64 Thu Jun 22 20:11:26 EDT 2023

 BARON is a product of The Optimization Firm.
 For information on BARON, see https://minlp.com/about-baron

 If you use this software, please cite publications from
 https://minlp.com/baron-publications, such as: 

 Khajavirad, A. and N. V. Sahinidis,
 A hybrid LP/NLP paradigm for global optimization relaxations,
 Mathematical Programming Computation, 10, 383-421, 2018.
===========================================================================
 This BARON run may utilize the following subsolver(s)
 For LP/MIP/QP: CLP/CBC, ILOG CPLEX                             
 For NLP: MINOS, SNOPT, External NLP, IPOPT, FILTERSQP
===========================================================================
 Doing local search
 Solving bounding LP
 Starting multi-start local search
 Preprocessing found feasible solution with value 0.336229E+08
 Done with local search
===========================================================================
  Iteration    Open nodes         Time (s)    Lower bound      Upper bound
      90267         38843         10678.72     0.341680E+08     0.380088E+08   
      90632         38999         10708.77     0.341680E+08     0.380081E+08   
      91007         39155         10738.86     0.341680E+08     0.380069E+08   
      91376         39318         10768.94     0.341680E+08     0.380064E+08   
      91727         39472         10798.95     0.341680E+08     0.380049E+08   
      92080         39620         10828.97     0.341680E+08     0.380043E+08   
      92419         39762         10858.97     0.341680E+08     0.380035E+08   
      92746         39903         10889.05     0.341680E+08     0.380032E+08   
      93091         40053         10919.11     0.341680E+08     0.380027E+08   
      93475         40221         10949.11     0.341680E+08     0.380017E+08   
      93807         40366         10979.11     0.341680E+08     0.380010E+08   
      94118         40489         11009.17     0.341680E+08     0.380002E+08   
      94407         40607         11039.17     0.341680E+08     0.379996E+08   
      94663+        40720         11069.31     0.341680E+08     0.379993E+08   
      94767+        40765         11099.36     0.341680E+08     0.379990E+08   
      94878         40816         11129.39     0.341680E+08     0.379990E+08   
      94933+        40840         11159.86     0.341680E+08     0.379989E+08   
      95102         40916         11189.94     0.341680E+08     0.379984E+08   
      95456         41079         11219.84     0.341680E+08     0.379984E+08   
      95751         41210         11249.97     0.341680E+08     0.379982E+08   
      96009         41325         11280.16     0.341680E+08     0.379979E+08   
      96239         41422         11310.23     0.341680E+08     0.379976E+08   
      96359         41473         11340.27     0.341680E+08     0.379974E+08   
      96392         41485         11370.30     0.341680E+08     0.379973E+08   
      96436         41503         11400.50     0.341680E+08     0.379970E+08   
      96458+        41511         11430.55     0.341680E+08     0.379970E+08   
      96744         41641         11460.56     0.341680E+08     0.379966E+08   
      97122         41811         11490.61     0.341680E+08     0.379963E+08   
      97507         41972         11520.67     0.341680E+08     0.379958E+08   
      97867         42131         11550.69     0.341680E+08     0.379955E+08   
      98219         42282         11580.69     0.341680E+08     0.379939E+08   
      98600         42441         11610.78     0.341680E+08     0.379933E+08   
      98996         42609         11640.78     0.341680E+08     0.379921E+08   
      99368         42772         11670.84     0.341680E+08     0.379913E+08   
      99724         42925         11700.05     0.341680E+08     0.379908E+08   
     100084         43084         11730.06     0.341680E+08     0.379893E+08   
     100450         43234         11760.09     0.341680E+08     0.379887E+08   
     100821         43398         11790.11     0.341680E+08     0.379881E+08   
     101177         43541         11820.16     0.341680E+08     0.379875E+08   
     101535         43692         11850.28     0.341680E+08     0.379870E+08   
     101894         43847         11880.30     0.341680E+08     0.379861E+08   
     102237         43988         11910.28     0.341680E+08     0.379849E+08   
     102595         44139         11940.33     0.341680E+08     0.379846E+08   
     102941         44294         11970.33     0.341680E+08     0.379843E+08   
     103289         44447         12000.33     0.341680E+08     0.379840E+08   
     103644         44607         12030.33     0.341680E+08     0.379834E+08   
     104009         44758         12060.34     0.341680E+08     0.379830E+08   
     104386         44926         12090.50     0.341680E+08     0.379824E+08   
     104740         45085         12120.28     0.341680E+08     0.379820E+08   
     105063         45221         12150.33     0.341680E+08     0.379812E+08   
     105372         45361         12180.50     0.341680E+08     0.379807E+08   
     105690         45499         12210.69     0.341680E+08     0.379803E+08   
     106009         45630         12240.70     0.341680E+08     0.379801E+08   
     106344         45771         12270.70     0.341680E+08     0.379797E+08   
     106639         45903         12300.89     0.341680E+08     0.379796E+08   
     106923         46021         12330.95     0.341680E+08     0.379793E+08   
     107025+        46068         12361.47     0.341680E+08     0.379791E+08   
     107037         46073         12391.58     0.341680E+08     0.379791E+08   
     107196         46136         12421.64     0.341680E+08     0.379790E+08   
     107556         46290         12451.66     0.341680E+08     0.379786E+08   
     107912         46442         12481.64     0.341680E+08     0.379783E+08   
     108289         46595         12511.66     0.341680E+08     0.379777E+08   
     108654         46739         12541.66     0.341680E+08     0.379771E+08   
     109013         46895         12571.72     0.341680E+08     0.379768E+08   
     109355         47041         12601.73     0.341680E+08     0.379764E+08   
     109709         47191         12631.72     0.341680E+08     0.379757E+08   
     110091         47355         12661.73     0.341680E+08     0.379755E+08   
     110459         47514         12691.83     0.341680E+08     0.379751E+08   
     110806         47656         12721.88     0.341680E+08     0.379746E+08   
     111161         47805         12751.89     0.341680E+08     0.379741E+08   
     111528         47966         12782.02     0.341680E+08     0.379734E+08   
     111906         48127         12812.06     0.341680E+08     0.379723E+08   
     112237         48265         12842.06     0.341680E+08     0.379718E+08   
     112610         48427         12872.09     0.341680E+08     0.379712E+08   
     112996         48596         12902.22     0.341680E+08     0.379709E+08   
     113324         48737         12932.36     0.341680E+08     0.379705E+08   
     113658         48885         12962.41     0.341680E+08     0.379697E+08   
     113992         49026         12992.45     0.341680E+08     0.379690E+08   
     114309         49167         13022.41     0.341680E+08     0.379686E+08   
     114617         49305         13052.41     0.341680E+08     0.379682E+08   
